timestamp,year,month,day,hour,temp_day_c,humidity_pct,rainfall_mm,monthly_temp_max_c,monthly_temp_min_c,monthly_rh_max_pct,monthly_rh_min_pct,monthly_rainfall_total_mm,rainfall_imputed_flag,source_station_temperature_humidity,source_station_rainfall
2023-01-01 00:00,2023,1,1,0,22.10,90.57,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 01:00,2023,1,1,1,21.66,90.80,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 02:00,2023,1,1,2,21.51,90.80,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 03:00,2023,1,1,3,21.66,90.80,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 04:00,2023,1,1,4,22.10,90.57,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 05:00,2023,1,1,5,22.79,89.13,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 06:00,2023,1,1,6,23.69,87.26,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 07:00,2023,1,1,7,24.75,85.08,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 08:00,2023,1,1,8,25.88,82.74,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 09:00,2023,1,1,9,27.01,80.39,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 10:00,2023,1,1,10,28.06,78.21,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 11:00,2023,1,1,11,28.96,76.34,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 12:00,2023,1,1,12,29.66,74.90,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 13:00,2023,1,1,13,30.09,73.99,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 14:00,2023,1,1,14,30.24,73.69,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 15:00,2023,1,1,15,30.09,73.99,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 16:00,2023,1,1,16,29.66,74.90,7.7684,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 17:00,2023,1,1,17,28.96,76.34,6.6269,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 18:00,2023,1,1,18,28.06,78.21,9.6047,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 19:00,2023,1,1,19,27.01,80.39,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 20:00,2023,1,1,20,25.88,82.74,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 21:00,2023,1,1,21,24.75,85.08,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 22:00,2023,1,1,22,23.69,87.26,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-01 23:00,2023,1,1,23,22.79,89.13,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 00:00,2023,1,2,0,22.26,89.77,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 01:00,2023,1,2,1,21.82,90.34,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 02:00,2023,1,2,2,21.68,90.34,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 03:00,2023,1,2,3,21.82,90.34,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 04:00,2023,1,2,4,22.26,89.77,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 05:00,2023,1,2,5,22.95,88.33,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 06:00,2023,1,2,6,23.86,86.46,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 07:00,2023,1,2,7,24.91,84.28,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 08:00,2023,1,2,8,26.04,81.94,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 09:00,2023,1,2,9,27.17,79.59,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 10:00,2023,1,2,10,28.22,77.41,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 11:00,2023,1,2,11,29.13,75.54,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 12:00,2023,1,2,12,29.82,74.10,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 13:00,2023,1,2,13,30.26,73.19,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 14:00,2023,1,2,14,30.41,72.89,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 15:00,2023,1,2,15,30.26,73.19,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 16:00,2023,1,2,16,29.82,74.10,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 17:00,2023,1,2,17,29.13,75.54,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 18:00,2023,1,2,18,28.22,77.41,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 19:00,2023,1,2,19,27.17,79.59,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 20:00,2023,1,2,20,26.04,81.94,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 21:00,2023,1,2,21,24.91,84.28,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 22:00,2023,1,2,22,23.86,86.46,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-02 23:00,2023,1,2,23,22.95,88.33,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-03 00:00,2023,1,3,0,22.44,91.05,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-03 01:00,2023,1,3,1,22.00,91.96,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-03 02:00,2023,1,3,2,21.85,91.99,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-03 03:00,2023,1,3,3,22.00,91.96,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-03 04:00,2023,1,3,4,22.44,91.05,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-03 05:00,2023,1,3,5,23.13,89.62,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-03 06:00,2023,1,3,6,24.03,87.74,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
2023-01-03 07:00,2023,1,3,7,25.09,85.56,0.0000,31.20,21.50,91.30,73.20,24.00,No,MATTALA,LUNUGAMWEHERA
